127.0.0.1 - - [09/Feb/2025:22:09:05 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:09:10 +0530] "GET /Major-Project/ HTTP/1.1" 200 10119
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:09:11 +0530] "GET /Major-Project/image/google.png HTTP/1.1" 200 1305
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:09:11 +0530] "GET /Major-Project/image/github.png HTTP/1.1" 200 1098
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:09:11 +0530] "GET /Major-Project/CSS/form.css HTTP/1.1" 200 7426
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:09:11 +0530] "GET /Major-Project/image/log.svg HTTP/1.1" 200 34525
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:09:11 +0530] "GET /Major-Project/image/register.svg HTTP/1.1" 200 26911
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:09:13 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:10:29 +0530] "GET /Major-Project/landing.html?code=6f41da92a3bdb61f3584 HTTP/1.1" 200 14014
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:10:29 +0530] "GET /Major-Project/image/audio.png HTTP/1.1" 200 31422
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:10:29 +0530] "GET /Major-Project/CSS/landing.css HTTP/1.1" 200 4205
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:10:29 +0530] "GET /Major-Project/image/summary-check.png HTTP/1.1" 200 32296
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:10:29 +0530] "GET /Major-Project/image/y1.png HTTP/1.1" 200 499599
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:10:29 +0530] "GET /Major-Project/image/pencil.png HTTP/1.1" 200 18847
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:10:29 +0530] "GET /Major-Project/image/languages.png HTTP/1.1" 200 47627
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:10:29 +0530] "GET /Major-Project/image/user-logout.png HTTP/1.1" 200 39132
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:10:29 +0530] "GET /Major-Project/image/robo.jpg HTTP/1.1" 200 85444
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:10:29 +0530] "GET /Major-Project/image/chatbot.png HTTP/1.1" 200 22002
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:10:30 +0530] "GET /Major-Project/image/back.jpg HTTP/1.1" 200 512726
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:10:32 +0530] "GET /Major-Project/upload.html HTTP/1.1" 200 10666
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:10:33 +0530] "GET /Major-Project/image/documentation.png HTTP/1.1" 200 25680
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:10:33 +0530] "GET /Major-Project/image/upload.jpg HTTP/1.1" 200 547652
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:10:41 +0530] "GET /Major-Project/chatbot.html HTTP/1.1" 200 8182
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:10:41 +0530] "GET /Major-Project/image/robot1.gif HTTP/1.1" 200 1070053
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:11:00 +0530] "GET /Major-Project/displaySummary.jsp HTTP/1.1" 200 8351
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:15:33 +0530] "POST /Major-Project/UploadServlet HTTP/1.1" 200 20913
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:19:15 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 200 2280
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:19:15 +0530] "GET /Major-Project/image/start.png HTTP/1.1" 200 13472
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:19:15 +0530] "GET /Major-Project/image/stop.png HTTP/1.1" 200 28924
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:19:15 +0530] "GET /Major-Project/CSS/audio.css HTTP/1.1" 200 5715
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:19:15 +0530] "GET /Major-Project/image/summarize.png HTTP/1.1" 200 25003
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:19:15 +0530] "GET /Major-Project/CSS/2.jpg HTTP/1.1" 200 434343
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:19:15 +0530] "GET /Major-Project/image/correct.png HTTP/1.1" 200 28510
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:19:15 +0530] "GET /Major-Project/scripts/audio-to-text.js HTTP/1.1" 200 5820
0:0:0:0:0:0:0:1 - - [09/Feb/2025:22:26:15 +0530] "GET /Major-Project/chatbot.html HTTP/1.1" 200 8503
